Road_ID,Length,Numberof_Bends,Trafficvolume,AccidentRisk
R0249,Long,Low,Low,Low
R0250,Long,Low,High,High
R0251,Medium,High,High,Medium
R0252,Medium,Low,Low,Low
R0253,Long,High,Low,Medium
R0254,Long,Moderate,Medium,High
R0255,Long,Moderate,Low,Low
R0256,Medium,Moderate,High,Medium
R0257,Long,Low,Medium,Medium
R0258,Short,Moderate,High,Medium
R0259,Medium,Moderate,Medium,High
R0260,Long,Low,Low,Low
R0261,Short,High,High,High
R0262,Short,Low,Medium,Low
R0263,Short,Moderate,Medium,Medium
R0264,Short,Moderate,Low,Low
R0265,Long,Low,Low,Low
R0266,Short,Low,Medium,High
R0267,Medium,Moderate,Medium,Low
R0268,Short,High,High,High
R0269,Medium,Moderate,High,High
R0270,Short,Moderate,Medium,Low
R0271,Long,High,Medium,Medium
R0272,Long,High,High,High
R0273,Short,Low,Medium,Low
R0274,Medium,Low,Medium,Medium
R0275,Short,Low,Low,Low
R0276,Long,High,High,High
R0277,Medium,Moderate,High,Medium
R0278,Short,Low,High,Medium
R0279,Long,Low,Medium,Medium
R0280,Long,High,High,Medium
R0281,Medium,Low,Medium,Medium
R0282,Long,Low,Low,Medium
R0283,Medium,High,High,High
R0284,Short,High,Low,Low
R0285,Long,High,High,Medium
R0286,Medium,High,High,High
R0287,Short,Moderate,Medium,Medium
R0288,Long,Moderate,Medium,Medium
R0289,Short,Low,High,Medium
R0290,Long,Moderate,High,Low
R0291,Long,High,Low,Medium
R0292,Short,Low,High,Medium
R0293,Short,High,High,High
R0294,Medium,Moderate,Low,Medium
R0295,Medium,Moderate,Medium,Low
R0296,Long,Low,High,Medium
R0297,Short,Moderate,Medium,Low
R0298,Short,Low,Medium,Low
R0299,Short,Low,High,Low
R0300,Long,Moderate,Low,Medium
R0301,Long,Low,High,Medium
R0302,Short,High,Low,Low
R0303,Short,Moderate,Low,Medium
R0304,Short,High,Low,Low
R0305,Long,Low,Low,Low
R0306,Short,Low,High,Low
R0307,Long,Moderate,Medium,Medium
R0308,Short,Moderate,High,Medium
R0309,Medium,Low,High,Low
R0310,Medium,Low,Medium,Low
R0311,Medium,Moderate,High,Medium
R0312,Short,High,High,High
R0313,Long,Low,High,Medium
R0314,Long,High,Low,High
R0315,Medium,Low,Low,Low
R0316,Long,High,Medium,High
R0317,Medium,Moderate,Medium,Medium
R0318,Long,Moderate,Medium,Medium
R0319,Short,Moderate,Low,Low
R0320,Long,Moderate,High,High
R0321,Medium,Moderate,Medium,Medium
R0322,Long,Moderate,High,High
R0323,Long,High,Low,High
R0324,Short,Moderate,Medium,Medium
R0325,Short,Low,High,Medium
R0326,Medium,Moderate,High,Medium
R0327,Short,Moderate,High,Medium
R0328,Long,Moderate,Low,High
R0329,Short,High,Low,Low
R0330,Long,Low,High,Medium
R0331,Medium,Moderate,Low,Medium
R0332,Long,Low,High,High
R0333,Medium,High,Medium,Medium
R0334,Long,Low,High,High
R0335,Medium,Moderate,Medium,Medium
R0336,Medium,Moderate,High,High
R0337,Medium,Low,Low,Low
R0338,Long,High,High,High
R0339,Medium,High,Low,Low
R0340,Short,Low,Low,Medium
R0341,Long,Moderate,Medium,Low
R0342,Medium,High,Medium,High
R0343,Medium,Moderate,Low,Low
R0344,Short,Moderate,Low,Low
R0345,Long,High,Medium,High
R0346,Short,Moderate,Medium,Low
R0347,Medium,Low,Medium,Low
R0348,Long,High,Low,Medium
R0349,Long,Moderate,Medium,Low
R0350,Medium,High,Medium,Medium
R0351,Medium,Moderate,Medium,Low
R0352,Short,High,Medium,Low
R0353,Medium,Low,High,Medium
R0354,Short,Moderate,Low,Low
R0355,Short,Moderate,Medium,Medium
R0356,Long,High,Medium,High
R0357,Long,Moderate,High,High
R0358,Short,High,Low,Low
R0359,Long,Moderate,Low,Medium
R0360,Long,Low,Low,Low
R0361,Medium,Moderate,Medium,Low
R0362,Medium,Low,Low,Low
R0363,Short,High,Medium,Low
R0364,Long,Low,High,High
R0365,Short,Low,High,Medium
R0366,Medium,Low,Low,Low
R0367,Short,Low,High,Low
R0368,Short,High,Low,Medium
R0369,Long,Moderate,Medium,Medium
R0370,Long,Low,Medium,Medium
R0371,Short,Low,Medium,Low
R0372,Short,Moderate,Medium,Medium
R0373,Short,Low,High,Low
R0374,Short,Low,Medium,Medium
R0375,Medium,Low,Low,Low
R0376,Medium,Moderate,High,High
R0377,Medium,Low,Medium,Medium
R0378,Long,Low,High,Medium
R0379,Long,Moderate,Medium,Medium
R0380,Short,Moderate,Medium,Medium
R0381,Short,Low,Medium,Low
R0382,Long,Moderate,Medium,Medium
R0383,Medium,Moderate,Low,Medium
R0384,Long,Low,Low,Low
R0385,Short,Moderate,Medium,Medium
R0386,Short,Low,Medium,Low
R0387,Long,Low,Medium,Medium
R0388,Medium,Moderate,Medium,Medium
R0389,Medium,Moderate,High,Medium
R0390,Medium,Low,High,Low
R0391,Short,High,Low,High
R0392,Medium,Low,Low,Low
R0393,Long,Moderate,Medium,Medium
R0394,Medium,High,Low,Medium
R0395,Long,Moderate,Low,Low
R0396,Medium,Low,High,Medium
R0397,Short,High,Medium,Medium
R0398,Short,Moderate,Medium,Low
R0399,Long,Moderate,Low,Medium
R0400,Short,Low,Medium,Medium
R0401,Medium,Moderate,Medium,High
R0402,Long,Low,Medium,Medium
R0403,Medium,High,Medium,High
R0404,Short,High,Low,Medium
R0405,Short,Moderate,Medium,Medium
R0406,Short,Moderate,Low,Low
R0407,Short,Low,Low,High
R0408,Short,High,Low,Low
R0409,Medium,High,Medium,High
R0410,Medium,Moderate,Low,Low
R0411,Long,Moderate,High,High
R0412,Long,High,High,High
R0413,Short,Moderate,Low,Low
R0414,Short,Moderate,Medium,Low
R0415,Medium,Low,Medium,Low
R0416,Medium,Moderate,Medium,High
R0417,Long,Moderate,High,High
R0418,Short,Low,Low,Medium
R0419,Medium,Moderate,Medium,Low
R0420,Short,Low,Low,High
R0421,Short,Moderate,High,Medium
R0422,Long,Moderate,Low,Medium
R0423,Short,High,Medium,Medium
R0424,Long,High,Medium,High
R0425,Medium,Low,Medium,Low
R0426,Medium,Moderate,Low,Low
R0427,Short,Moderate,Medium,Low
R0428,Short,Moderate,Medium,Medium
R0429,Medium,High,Medium,Medium
R0430,Short,Low,Low,Low
R0431,Short,Moderate,Medium,Low
R0432,Long,Moderate,Low,High
R0433,Medium,Low,Medium,Low
R0434,Long,Low,Medium,Medium
R0435,Short,Moderate,High,Medium
R0436,Long,Low,Medium,Medium
R0437,Short,High,High,Low
R0438,Medium,Low,Medium,Low
R0439,Medium,Moderate,High,Medium
R0440,Short,Moderate,High,Medium
R0441,Short,High,Medium,Medium
R0442,Long,Low,High,High
R0443,Short,High,Low,Low
R0444,Medium,Moderate,High,High
R0445,Medium,High,Medium,High
R0446,Short,Low,High,Medium
R0447,Medium,High,High,High
R0448,Medium,Moderate,Low,Medium
R0449,Medium,Moderate,Medium,Medium
R0450,Medium,High,Medium,High
R0451,Short,Moderate,High,Medium
R0452,Short,Low,Medium,Medium
R0453,Medium,Moderate,Low,Medium
R0454,Short,Low,Medium,Low
R0455,Medium,High,Low,Medium
R0456,Short,Low,Medium,Low
R0457,Medium,Low,Medium,Medium
R0458,Long,High,Low,Medium
R0459,Medium,High,Medium,High
R0460,Short,Low,Medium,High
R0461,Short,Low,Medium,Low
R0462,Short,Low,Medium,Low
R0463,Short,Moderate,Medium,Low
R0464,Long,High,Low,Medium
R0465,Medium,High,High,Low
R0466,Medium,High,Low,Medium
R0467,Short,Moderate,Low,Low
R0468,Medium,Low,Low,Low
R0469,Short,High,High,High
R0470,Long,Moderate,High,Medium
R0471,Long,Moderate,Medium,High
R0472,Medium,Moderate,High,Medium
R0473,Long,Moderate,High,High
R0474,Short,High,Medium,Medium
R0475,Medium,Low,High,Medium
R0476,Long,High,Medium,Medium
R0477,Short,High,High,High
R0478,Short,Moderate,High,High
R0479,Short,High,High,Medium
R0480,Medium,Low,Low,Low
R0481,Short,Moderate,Medium,Low
R0482,Short,Moderate,Low,Low
R0483,Short,High,Medium,Medium
R0484,Medium,High,High,Medium
R0485,Medium,Moderate,Low,Low
R0486,Short,Moderate,Medium,Low
R0487,Short,Moderate,Low,Low
R0488,Short,High,Low,Medium
R0489,Short,Moderate,Medium,High
R0490,Long,Moderate,Low,Medium
R0491,Medium,Moderate,Low,Low
R0492,Medium,Low,Low,Low
R0493,Short,Moderate,High,Medium
R0494,Long,Low,Low,Medium
R0495,Long,Moderate,Medium,Medium
R0496,Medium,Low,Low,Low
R0497,Medium,Low,Low,Medium
R0498,Medium,Moderate,Medium,Low
R0499,Short,High,Medium,Medium
R0500,Medium,Low,Medium,Low
R0501,Short,Low,High,Medium
R0502,Long,Low,High,Medium
R0503,Medium,High,Low,Low
R0504,Short,Moderate,Medium,Medium
R0505,Medium,Low,Low,Low
R0506,Short,Moderate,Low,Low
R0507,Short,Moderate,Medium,Medium
R0508,Short,Moderate,Low,Medium
R0509,Long,Moderate,Medium,High
R0510,Long,Low,Medium,Medium
R0511,Long,High,Low,Medium
R0512,Medium,High,Low,Low
R0513,Long,Low,Medium,Medium
R0514,Long,High,High,High
R0515,Short,Low,High,Medium
R0516,Short,Moderate,High,Low
R0517,Medium,Moderate,Medium,Medium
R0518,Short,Moderate,Medium,Low
R0519,Short,Moderate,Low,Low
R0520,Long,Moderate,Medium,Medium
R0521,Short,Low,High,Medium
R0522,Long,Moderate,High,Medium
R0523,Long,Low,Medium,Medium
R0524,Medium,Moderate,Medium,Low
R0525,Short,Moderate,High,Low
R0526,Long,High,High,High
R0527,Medium,High,Medium,High
R0528,Long,Moderate,Medium,Medium
R0529,Long,High,Medium,Medium
R0530,Short,Low,High,Low
R0531,Long,Moderate,Medium,Medium
R0532,Short,Moderate,Medium,Low
R0533,Short,Moderate,High,Medium
R0534,Medium,High,Medium,High
R0535,Long,Low,High,Medium
R0536,Short,Low,Low,Low
R0537,Long,Moderate,Medium,Medium
R0538,Long,Low,High,Medium
R0539,Long,High,High,High
R0540,Medium,Low,Medium,Low
R0541,Short,High,Low,Low
R0542,Medium,Moderate,Low,Medium
R0543,Long,High,Medium,High
R0544,Long,High,Medium,Medium
R0545,Medium,Low,Medium,Medium
R0546,Short,Low,High,Low
R0547,Medium,High,Medium,Medium
R0548,Short,Low,Medium,Low
R0549,Medium,High,Low,Medium
R0550,Long,Low,Medium,Medium
R0551,Long,Low,Medium,Medium
R0552,Short,Moderate,High,Medium
R0553,Medium,Low,Medium,Medium
R0554,Long,Moderate,High,High
R0555,Medium,Low,Low,Low
R0556,Short,Low,Low,Medium
R0557,Medium,Moderate,Medium,Medium
R0558,Medium,Low,High,Medium
R0559,Medium,Low,High,Medium
R0560,Medium,Low,High,Medium
R0561,Short,Low,Medium,Low
R0562,Short,High,Medium,Medium
R0563,Short,Moderate,Low,Low
R0564,Long,Moderate,High,High
R0565,Short,Low,Low,Medium
R0566,Medium,Moderate,Low,Medium
R0567,Medium,Low,Low,Low
R0568,Short,Moderate,High,Medium
R0569,Short,Low,Low,Low
R0570,Short,Moderate,Low,Low
R0571,Medium,Moderate,Medium,Low
R0572,Long,Low,Low,Medium
R0573,Short,High,High,High
R0574,Medium,Low,Low,Low
R0575,Medium,Low,Low,Low
R0576,Short,Moderate,Medium,High
R0577,Short,High,High,Medium
R0578,Short,High,Medium,Medium
R0579,Short,High,Medium,Medium
R0580,Long,Moderate,Medium,Medium
R0581,Long,Moderate,Medium,Medium
R0582,Short,Moderate,Medium,Low
R0583,Long,Moderate,Low,Low
R0584,Long,Low,Low,Low
R0585,Short,Low,Low,Medium
R0586,Medium,Low,Medium,Low
R0587,Long,Low,Medium,Medium
R0588,Medium,Low,Low,Low
R0589,Medium,Moderate,Low,Medium
R0590,Short,Moderate,High,Medium
R0591,Long,Moderate,High,High
R0592,Long,Moderate,High,High
R0593,Medium,Moderate,High,High
R0594,Medium,Moderate,Medium,Medium
R0595,Short,Low,Medium,Low
R0596,Long,Low,Medium,Medium
R0597,Medium,Moderate,Medium,High
R0598,Medium,High,Low,Medium
R0599,Long,High,Low,Medium
R0600,Long,Moderate,Low,Low
