record_id,state,taluk_name,rainfall_mm,metric_group,holder_group,value,unit,value_level,is_zero
AG00030,Karnataka,Alnavara,1416.9,Area,Female,0.0,Area,Zero,Yes
AG00031,Karnataka,Alnavara,1416.9,Area,Institution,0.0,Area,Zero,Yes
AG00032,Karnataka,Alnavara,1416.9,Area,Total,0.0,Area,Zero,Yes
AG00033,Karnataka,Alur,595.5,Numbers,Male,20810.0,Count,Medium,No
AG00034,Karnataka,Alur,595.5,Numbers,Female,5762.0,Count,Low,No
AG00035,Karnataka,Alur,595.5,Numbers,Institution,87.0,Count,Low,No
AG00036,Karnataka,Alur,595.5,Numbers,Total,26659.0,Count,Medium,No
AG00037,Karnataka,Alur,595.5,Area,Male,22383.87,Area,Medium,No
AG00038,Karnataka,Alur,595.5,Area,Female,5586.74,Area,Low,No
AG00039,Karnataka,Alur,595.5,Area,Institution,986.45,Area,Low,No
AG00040,Karnataka,Alur,595.5,Area,Total,28957.06,Area,Medium,No
AG00041,Karnataka,Anekal,1801.3,Numbers,Male,31424.0,Count,Medium,No
AG00042,Karnataka,Anekal,1801.3,Numbers,Female,8322.0,Count,Low,No
AG00043,Karnataka,Anekal,1801.3,Numbers,Institution,0.0,Count,Zero,Yes
AG00044,Karnataka,Anekal,1801.3,Numbers,Total,39746.0,Count,Medium,No
AG00045,Karnataka,Anekal,1801.3,Area,Male,24534.65,Area,Medium,No
AG00046,Karnataka,Anekal,1801.3,Area,Female,6089.85,Area,Low,No
AG00047,Karnataka,Anekal,1801.3,Area,Institution,0.0,Area,Zero,Yes
AG00048,Karnataka,Anekal,1801.3,Area,Total,30624.5,Area,Medium,No
AG00049,Karnataka,Ankola,1553.2,Numbers,Male,16799.0,Count,Medium,No
AG00050,Karnataka,Ankola,1553.2,Numbers,Female,5932.0,Count,Low,No
AG00051,Karnataka,Ankola,1553.2,Numbers,Institution,32.0,Count,Low,No
AG00052,Karnataka,Ankola,1553.2,Numbers,Total,22763.0,Count,Medium,No
AG00053,Karnataka,Ankola,1553.2,Area,Male,9237.5,Area,Low,No
AG00054,Karnataka,Ankola,1553.2,Area,Female,2700.6,Area,Low,No
AG00055,Karnataka,Ankola,1553.2,Area,Institution,50.82,Area,Low,No
AG00056,Karnataka,Ankola,1553.2,Area,Total,11988.92,Area,Medium,No
AG00057,Karnataka,Annigeri,1271.2,Numbers,Male,0.0,Count,Zero,Yes
AG00058,Karnataka,Annigeri,1271.2,Numbers,Female,0.0,Count,Zero,Yes
AG00059,Karnataka,Annigeri,1271.2,Numbers,Institution,0.0,Count,Zero,Yes
AG00060,Karnataka,Annigeri,1271.2,Numbers,Total,0.0,Count,Zero,Yes
AG00061,Karnataka,Annigeri,1271.2,Area,Male,0.0,Area,Zero,Yes
AG00062,Karnataka,Annigeri,1271.2,Area,Female,0.0,Area,Zero,Yes
AG00063,Karnataka,Annigeri,1271.2,Area,Institution,0.0,Area,Zero,Yes
AG00064,Karnataka,Annigeri,1271.2,Area,Total,0.0,Area,Zero,Yes
AG00065,Karnataka,Arkalgud,2461.2,Numbers,Male,51041.0,Count,High,No
AG00066,Karnataka,Arkalgud,2461.2,Numbers,Female,12064.0,Count,Medium,No
AG00067,Karnataka,Arkalgud,2461.2,Numbers,Institution,247.0,Count,Low,No
AG00068,Karnataka,Arkalgud,2461.2,Numbers,Total,63352.0,Count,High,No
AG00069,Karnataka,Arkalgud,2461.2,Area,Male,39942.14,Area,Medium,No
AG00070,Karnataka,Arkalgud,2461.2,Area,Female,9428.89,Area,Low,No
AG00071,Karnataka,Arkalgud,2461.2,Area,Institution,288.52,Area,Low,No
AG00072,Karnataka,Arkalgud,2461.2,Area,Total,49659.55,Area,Medium,No
AG00073,Karnataka,Arsikere,1683.8,Numbers,Male,71587.0,Count,High,No
AG00074,Karnataka,Arsikere,1683.8,Numbers,Female,17106.0,Count,Medium,No
AG00075,Karnataka,Arsikere,1683.8,Numbers,Institution,368.0,Count,Low,No
AG00076,Karnataka,Arsikere,1683.8,Numbers,Total,89061.0,Count,High,No
AG00077,Karnataka,Arsikere,1683.8,Area,Male,69070.86,Area,High,No
AG00078,Karnataka,Arsikere,1683.8,Area,Female,15562.03,Area,Medium,No
AG00079,Karnataka,Arsikere,1683.8,Area,Institution,573.17,Area,Low,No
AG00080,Karnataka,Arsikere,1683.8,Area,Total,85206.06,Area,High,No
AG00081,Karnataka,Athani,1273.5,Numbers,Male,91005.0,Count,High,No
AG00082,Karnataka,Athani,1273.5,Numbers,Female,12401.0,Count,Medium,No
AG00083,Karnataka,Athani,1273.5,Numbers,Institution,2123.0,Count,Low,No
AG00084,Karnataka,Athani,1273.5,Numbers,Total,105529.0,Count,High,No
AG00085,Karnataka,Athani,1273.5,Area,Male,159221.84,Area,High,No
AG00086,Karnataka,Athani,1273.5,Area,Female,19305.91,Area,Medium,No
AG00087,Karnataka,Athani,1273.5,Area,Institution,7466.43,Area,Low,No
AG00088,Karnataka,Athani,1273.5,Area,Total,185994.18,Area,High,No
AG00089,Karnataka,Aurad,1811.2,Numbers,Male,44071.0,Count,Medium,No
AG00090,Karnataka,Aurad,1811.2,Numbers,Female,10809.0,Count,Medium,No
AG00091,Karnataka,Aurad,1811.2,Numbers,Institution,28.0,Count,Low,No
AG00092,Karnataka,Aurad,1811.2,Numbers,Total,54908.0,Count,High,No
AG00093,Karnataka,Aurad,1811.2,Area,Male,88253.79,Area,High,No
AG00094,Karnataka,Aurad,1811.2,Area,Female,18127.78,Area,Medium,No
AG00095,Karnataka,Aurad,1811.2,Area,Institution,112.57,Area,Low,No
AG00096,Karnataka,Aurad,1811.2,Area,Total,106494.14,Area,High,No
AG00097,Karnataka,Babaleshwara,733.8,Numbers,Male,0.0,Count,Zero,Yes
AG00098,Karnataka,Babaleshwara,733.8,Numbers,Female,0.0,Count,Zero,Yes
AG00099,Karnataka,Babaleshwara,733.8,Numbers,Institution,0.0,Count,Zero,Yes
AG00100,Karnataka,Babaleshwara,733.8,Numbers,Total,0.0,Count,Zero,Yes
AG00101,Karnataka,Babaleshwara,733.8,Area,Male,0.0,Area,Zero,Yes
AG00102,Karnataka,Babaleshwara,733.8,Area,Female,0.0,Area,Zero,Yes
AG00103,Karnataka,Babaleshwara,733.8,Area,Institution,0.0,Area,Zero,Yes
AG00104,Karnataka,Babaleshwara,733.8,Area,Total,0.0,Area,Zero,Yes
AG00105,Karnataka,Badami,986.0,Numbers,Male,40071.0,Count,Medium,No
AG00106,Karnataka,Badami,986.0,Numbers,Female,7327.0,Count,Low,No
AG00107,Karnataka,Badami,986.0,Numbers,Institution,126.0,Count,Low,No
AG00108,Karnataka,Badami,986.0,Numbers,Total,47524.0,Count,Medium,No
AG00109,Karnataka,Badami,986.0,Area,Male,79068.55,Area,High,No
AG00110,Karnataka,Badami,986.0,Area,Female,13417.21,Area,Medium,No
AG00111,Karnataka,Badami,986.0,Area,Institution,2376.18,Area,Low,No
AG00112,Karnataka,Badami,986.0,Area,Total,94861.94,Area,High,No
AG00113,Karnataka,Bagalkote,1027.8,Numbers,Male,24110.0,Count,Medium,No
AG00114,Karnataka,Bagalkote,1027.8,Numbers,Female,5892.0,Count,Low,No
AG00115,Karnataka,Bagalkote,1027.8,Numbers,Institution,18.0,Count,Low,No
AG00116,Karnataka,Bagalkote,1027.8,Numbers,Total,30020.0,Count,Medium,No
AG00117,Karnataka,Bagalkote,1027.8,Area,Male,48986.76,Area,Medium,No
AG00118,Karnataka,Bagalkote,1027.8,Area,Female,10736.48,Area,Medium,No
AG00119,Karnataka,Bagalkote,1027.8,Area,Institution,48.29,Area,Low,No
AG00120,Karnataka,Bagalkote,1027.8,Area,Total,59771.53,Area,High,No
AG00121,Karnataka,Bagepalli,807.0,Numbers,Male,27607.0,Count,Medium,No
AG00122,Karnataka,Bagepalli,807.0,Numbers,Female,4299.0,Count,Low,No
AG00123,Karnataka,Bagepalli,807.0,Numbers,Institution,2.0,Count,Low,No
AG00124,Karnataka,Bagepalli,807.0,Numbers,Total,31908.0,Count,Medium,No
AG00125,Karnataka,Bagepalli,807.0,Area,Male,37406.5,Area,Medium,No
AG00126,Karnataka,Bagepalli,807.0,Area,Female,5054.14,Area,Low,No
AG00127,Karnataka,Bagepalli,807.0,Area,Institution,2.79,Area,Low,No
AG00128,Karnataka,Bagepalli,807.0,Area,Total,42463.43,Area,Medium,No
AG00129,Karnataka,Bailhongal,2454.8,Numbers,Male,53196.0,Count,High,No
AG00130,Karnataka,Bailhongal,2454.8,Numbers,Female,4855.0,Count,Low,No
AG00131,Karnataka,Bailhongal,2454.8,Numbers,Institution,63.0,Count,Low,No
AG00132,Karnataka,Bailhongal,2454.8,Numbers,Total,58114.0,Count,High,No
AG00133,Karnataka,Bailhongal,2454.8,Area,Male,81803.0,Area,High,No
AG00134,Karnataka,Bailhongal,2454.8,Area,Female,6324.0,Area,Low,No
AG00135,Karnataka,Bailhongal,2454.8,Area,Institution,251.0,Area,Low,No
AG00136,Karnataka,Bailhongal,2454.8,Area,Total,88378.0,Area,High,No
AG00137,Karnataka,Ballari,2366.8,Numbers,Male,33188.0,Count,Medium,No
AG00138,Karnataka,Ballari,2366.8,Numbers,Female,10708.0,Count,Medium,No
AG00139,Karnataka,Ballari,2366.8,Numbers,Institution,123.0,Count,Low,No
AG00140,Karnataka,Ballari,2366.8,Numbers,Total,44019.0,Count,Medium,No
AG00141,Karnataka,Ballari,2366.8,Area,Male,66762.76,Area,High,No
AG00142,Karnataka,Ballari,2366.8,Area,Female,17373.95,Area,Medium,No
AG00143,Karnataka,Ballari,2366.8,Area,Institution,623.62,Area,Low,No
AG00144,Karnataka,Ballari,2366.8,Area,Total,84760.33,Area,High,No
AG00145,Karnataka,Bangalore (North),1869.7,Numbers,Male,33005.0,Count,Medium,No
AG00146,Karnataka,Bangalore (North),1869.7,Numbers,Female,9039.0,Count,Low,No
AG00147,Karnataka,Bangalore (North),1869.7,Numbers,Institution,12.0,Count,Low,No
AG00148,Karnataka,Bangalore (North),1869.7,Numbers,Total,42056.0,Count,Medium,No
AG00149,Karnataka,Bangalore (North),1869.7,Area,Male,22948.08,Area,Medium,No
AG00150,Karnataka,Bangalore (North),1869.7,Area,Female,6067.39,Area,Low,No
AG00151,Karnataka,Bangalore (North),1869.7,Area,Institution,16.33,Area,Low,No
AG00152,Karnataka,Bangalore (North),1869.7,Area,Total,29031.8,Area,Medium,No
AG00153,Karnataka,Bangalore-East,2160.0,Numbers,Male,5837.0,Count,Low,No
AG00154,Karnataka,Bangalore-East,2160.0,Numbers,Female,1364.0,Count,Low,No
AG00155,Karnataka,Bangalore-East,2160.0,Numbers,Institution,0.0,Count,Zero,Yes
AG00156,Karnataka,Bangalore-East,2160.0,Numbers,Total,7201.0,Count,Low,No
AG00157,Karnataka,Bangalore-East,2160.0,Area,Male,4757.04,Area,Low,No
AG00158,Karnataka,Bangalore-East,2160.0,Area,Female,938.66,Area,Low,No
AG00159,Karnataka,Bangalore-East,2160.0,Area,Institution,0.0,Area,Zero,Yes
AG00160,Karnataka,Bangalore-East,2160.0,Area,Total,5695.7,Area,Low,No
AG00161,Karnataka,Bangalore-South,2277.5,Numbers,Male,13832.0,Count,Medium,No
AG00162,Karnataka,Bangalore-South,2277.5,Numbers,Female,4398.0,Count,Low,No
AG00163,Karnataka,Bangalore-South,2277.5,Numbers,Institution,1.0,Count,Low,No
AG00164,Karnataka,Bangalore-South,2277.5,Numbers,Total,18231.0,Count,Medium,No
AG00165,Karnataka,Bangalore-South,2277.5,Area,Male,13794.42,Area,Medium,No
AG00166,Karnataka,Bangalore-South,2277.5,Area,Female,4153.32,Area,Low,No
AG00167,Karnataka,Bangalore-South,2277.5,Area,Institution,1.14,Area,Low,No
AG00168,Karnataka,Bangalore-South,2277.5,Area,Total,17948.88,Area,Medium,No
AG00169,Karnataka,Bangarpet,2264.4,Numbers,Male,25916.0,Count,Medium,No
AG00170,Karnataka,Bangarpet,2264.4,Numbers,Female,7007.0,Count,Low,No
AG00171,Karnataka,Bangarpet,2264.4,Numbers,Institution,23.0,Count,Low,No
AG00172,Karnataka,Bangarpet,2264.4,Numbers,Total,32946.0,Count,Medium,No
AG00173,Karnataka,Bangarpet,2264.4,Area,Male,19071.16,Area,Medium,No
AG00174,Karnataka,Bangarpet,2264.4,Area,Female,3914.48,Area,Low,No
AG00175,Karnataka,Bangarpet,2264.4,Area,Institution,51.68,Area,Low,No
AG00176,Karnataka,Bangarpet,2264.4,Area,Total,23037.32,Area,Medium,No
AG00177,Karnataka,Bantwal,2359.1,Numbers,Male,36009.0,Count,Medium,No
AG00178,Karnataka,Bantwal,2359.1,Numbers,Female,17023.0,Count,Medium,No
AG00179,Karnataka,Bantwal,2359.1,Numbers,Institution,249.0,Count,Low,No
AG00180,Karnataka,Bantwal,2359.1,Numbers,Total,53281.0,Count,High,No
AG00181,Karnataka,Bantwal,2359.1,Area,Male,26428.51,Area,Medium,No
AG00182,Karnataka,Bantwal,2359.1,Area,Female,12690.0,Area,Medium,No
AG00183,Karnataka,Bantwal,2359.1,Area,Institution,438.28,Area,Low,No
AG00184,Karnataka,Bantwal,2359.1,Area,Total,39556.79,Area,Medium,No
AG00185,Karnataka,Basavakalyan,914.3,Numbers,Male,46133.0,Count,Medium,No
AG00186,Karnataka,Basavakalyan,914.3,Numbers,Female,10817.0,Count,Medium,No
AG00187,Karnataka,Basavakalyan,914.3,Numbers,Institution,67.0,Count,Low,No
AG00188,Karnataka,Basavakalyan,914.3,Numbers,Total,57017.0,Count,High,No
AG00189,Karnataka,Basavakalyan,914.3,Area,Male,81064.08,Area,High,No
AG00190,Karnataka,Basavakalyan,914.3,Area,Female,16595.5,Area,Medium,No
AG00191,Karnataka,Basavakalyan,914.3,Area,Institution,257.51,Area,Low,No
AG00192,Karnataka,Basavakalyan,914.3,Area,Total,97917.09,Area,High,No
AG00193,Karnataka,Basavan Bagewadi,1148.2,Numbers,Male,54545.0,Count,High,No
AG00194,Karnataka,Basavan Bagewadi,1148.2,Numbers,Female,10139.0,Count,Medium,No
AG00195,Karnataka,Basavan Bagewadi,1148.2,Numbers,Institution,24.0,Count,Low,No
AG00196,Karnataka,Basavan Bagewadi,1148.2,Numbers,Total,64708.0,Count,High,No
AG00197,Karnataka,Basavan Bagewadi,1148.2,Area,Male,149552.73,Area,High,No
AG00198,Karnataka,Basavan Bagewadi,1148.2,Area,Female,25543.8,Area,Medium,No
AG00199,Karnataka,Basavan Bagewadi,1148.2,Area,Institution,135.52,Area,Low,No
AG00200,Karnataka,Basavan Bagewadi,1148.2,Area,Total,175232.05,Area,High,No
AG00201,Karnataka,Belagavi,1744.4,Numbers,Male,50284.0,Count,High,No
AG00202,Karnataka,Belagavi,1744.4,Numbers,Female,3511.0,Count,Low,No
AG00203,Karnataka,Belagavi,1744.4,Numbers,Institution,196.0,Count,Low,No
AG00204,Karnataka,Belagavi,1744.4,Numbers,Total,53991.0,Count,High,No
AG00205,Karnataka,Belagavi,1744.4,Area,Male,60586.0,Area,High,No
AG00206,Karnataka,Belagavi,1744.4,Area,Female,3804.0,Area,Low,No
AG00207,Karnataka,Belagavi,1744.4,Area,Institution,1143.0,Area,Low,No
AG00208,Karnataka,Belagavi,1744.4,Area,Total,65533.0,Area,High,No
AG00209,Karnataka,Belthangady,2101.3,Numbers,Male,29120.0,Count,Medium,No
AG00210,Karnataka,Belthangady,2101.3,Numbers,Female,12851.0,Count,Medium,No
AG00211,Karnataka,Belthangady,2101.3,Numbers,Institution,69.0,Count,Low,No
AG00212,Karnataka,Belthangady,2101.3,Numbers,Total,42040.0,Count,Medium,No
AG00213,Karnataka,Belthangady,2101.3,Area,Male,24991.75,Area,Medium,No
AG00214,Karnataka,Belthangady,2101.3,Area,Female,11002.75,Area,Medium,No
AG00215,Karnataka,Belthangady,2101.3,Area,Institution,1212.93,Area,Low,No
AG00216,Karnataka,Belthangady,2101.3,Area,Total,37207.43,Area,Medium,No
AG00217,Karnataka,Belur,1040.7,Numbers,Male,45886.0,Count,Medium,No
AG00218,Karnataka,Belur,1040.7,Numbers,Female,10047.0,Count,Medium,No
AG00219,Karnataka,Belur,1040.7,Numbers,Institution,201.0,Count,Low,No
AG00220,Karnataka,Belur,1040.7,Numbers,Total,56134.0,Count,High,No
AG00221,Karnataka,Belur,1040.7,Area,Male,47930.81,Area,Medium,No
AG00222,Karnataka,Belur,1040.7,Area,Female,10122.41,Area,Medium,No
AG00223,Karnataka,Belur,1040.7,Area,Institution,679.82,Area,Low,No
AG00224,Karnataka,Belur,1040.7,Area,Total,58733.04,Area,High,No
AG00225,Karnataka,Bhadravathi,1500.5,Numbers,Male,29888.0,Count,Medium,No
AG00226,Karnataka,Bhadravathi,1500.5,Numbers,Female,11287.0,Count,Medium,No
AG00227,Karnataka,Bhadravathi,1500.5,Numbers,Institution,99.0,Count,Low,No
AG00228,Karnataka,Bhadravathi,1500.5,Numbers,Total,41274.0,Count,Medium,No
AG00229,Karnataka,Bhadravathi,1500.5,Area,Male,23072.74,Area,Medium,No
AG00230,Karnataka,Bhadravathi,1500.5,Area,Female,8710.84,Area,Low,No
AG00231,Karnataka,Bhadravathi,1500.5,Area,Institution,146.53,Area,Low,No
AG00232,Karnataka,Bhadravathi,1500.5,Area,Total,31930.11,Area,Medium,No
AG00233,Karnataka,Bhalki,1593.5,Numbers,Male,45263.0,Count,Medium,No
AG00234,Karnataka,Bhalki,1593.5,Numbers,Female,14035.0,Count,Medium,No
AG00235,Karnataka,Bhalki,1593.5,Numbers,Institution,30.0,Count,Low,No
AG00236,Karnataka,Bhalki,1593.5,Numbers,Total,59328.0,Count,High,No
AG00237,Karnataka,Bhalki,1593.5,Area,Male,71151.36,Area,High,No
AG00238,Karnataka,Bhalki,1593.5,Area,Female,19792.57,Area,Medium,No
AG00239,Karnataka,Bhalki,1593.5,Area,Institution,75.2,Area,Low,No
AG00240,Karnataka,Bhalki,1593.5,Area,Total,91019.13,Area,High,No
AG00241,Karnataka,Bhatkal,961.0,Numbers,Male,13142.0,Count,Medium,No
AG00242,Karnataka,Bhatkal,961.0,Numbers,Female,4856.0,Count,Low,No
AG00243,Karnataka,Bhatkal,961.0,Numbers,Institution,35.0,Count,Low,No
AG00244,Karnataka,Bhatkal,961.0,Numbers,Total,18033.0,Count,Medium,No
AG00245,Karnataka,Bhatkal,961.0,Area,Male,5668.53,Area,Low,No
AG00246,Karnataka,Bhatkal,961.0,Area,Female,1905.85,Area,Low,No
AG00247,Karnataka,Bhatkal,961.0,Area,Institution,112.65,Area,Low,No
AG00248,Karnataka,Bhatkal,961.0,Area,Total,7687.03,Area,Low,No
AG00249,Karnataka,Bidar,569.7,Numbers,Male,35162.0,Count,Medium,No
AG00250,Karnataka,Bidar,569.7,Numbers,Female,10084.0,Count,Medium,No
AG00251,Karnataka,Bidar,569.7,Numbers,Institution,19.0,Count,Low,No
AG00252,Karnataka,Bidar,569.7,Numbers,Total,45265.0,Count,Medium,No
AG00253,Karnataka,Bidar,569.7,Area,Male,52505.77,Area,High,No
AG00254,Karnataka,Bidar,569.7,Area,Female,14688.87,Area,Medium,No
AG00255,Karnataka,Bidar,569.7,Area,Institution,45.92,Area,Low,No
AG00256,Karnataka,Bidar,569.7,Area,Total,67240.56,Area,High,No
AG00257,Karnataka,Bijapur,1656.8,Numbers,Male,77219.0,Count,High,No
AG00258,Karnataka,Bijapur,1656.8,Numbers,Female,11677.0,Count,Medium,No
AG00259,Karnataka,Bijapur,1656.8,Numbers,Institution,12.0,Count,Low,No
AG00260,Karnataka,Bijapur,1656.8,Numbers,Total,88908.0,Count,High,No
AG00261,Karnataka,Bijapur,1656.8,Area,Male,201361.6,Area,High,No
AG00262,Karnataka,Bijapur,1656.8,Area,Female,28282.05,Area,Medium,No
AG00263,Karnataka,Bijapur,1656.8,Area,Institution,72.31,Area,Low,No
AG00264,Karnataka,Bijapur,1656.8,Area,Total,229715.96,Area,High,No
AG00265,Karnataka,Bilagi,925.3,Numbers,Male,20087.0,Count,Medium,No
AG00266,Karnataka,Bilagi,925.3,Numbers,Female,3977.0,Count,Low,No
AG00267,Karnataka,Bilagi,925.3,Numbers,Institution,9.0,Count,Low,No
AG00268,Karnataka,Bilagi,925.3,Numbers,Total,24073.0,Count,Medium,No
AG00269,Karnataka,Bilagi,925.3,Area,Male,34430.08,Area,Medium,No
AG00270,Karnataka,Bilagi,925.3,Area,Female,6231.71,Area,Low,No
AG00271,Karnataka,Bilagi,925.3,Area,Institution,36.66,Area,Low,No
AG00272,Karnataka,Bilagi,925.3,Area,Total,40698.45,Area,Medium,No
AG00273,Karnataka,Bramhavara,1531.8,Numbers,Male,19228.0,Count,Medium,No
AG00274,Karnataka,Bramhavara,1531.8,Numbers,Female,15435.0,Count,Medium,No
AG00275,Karnataka,Bramhavara,1531.8,Numbers,Institution,106.0,Count,Low,No
AG00276,Karnataka,Bramhavara,1531.8,Numbers,Total,34769.0,Count,Medium,No
AG00277,Karnataka,Bramhavara,1531.8,Area,Male,10200.0,Area,Medium,No
AG00278,Karnataka,Bramhavara,1531.8,Area,Female,8651.0,Area,Low,No
AG00279,Karnataka,Bramhavara,1531.8,Area,Institution,145.0,Area,Low,No
AG00280,Karnataka,Bramhavara,1531.8,Area,Total,18996.0,Area,Medium,No
AG00281,Karnataka,Byadagi,1948.8,Numbers,Male,20113.0,Count,Medium,No
AG00282,Karnataka,Byadagi,1948.8,Numbers,Female,2480.0,Count,Low,No
AG00283,Karnataka,Byadagi,1948.8,Numbers,Institution,14.0,Count,Low,No
AG00284,Karnataka,Byadagi,1948.8,Numbers,Total,22607.0,Count,Medium,No
AG00285,Karnataka,Byadagi,1948.8,Area,Male,30085.79,Area,Medium,No
AG00286,Karnataka,Byadagi,1948.8,Area,Female,3343.87,Area,Low,No
AG00287,Karnataka,Byadagi,1948.8,Area,Institution,24.63,Area,Low,No
AG00288,Karnataka,Byadagi,1948.8,Area,Total,33454.29,Area,Medium,No
AG00289,Karnataka,Bynduru,2495.1,Numbers,Male,14919.0,Count,Medium,No
AG00290,Karnataka,Bynduru,2495.1,Numbers,Female,12541.0,Count,Medium,No
AG00291,Karnataka,Bynduru,2495.1,Numbers,Institution,17.0,Count,Low,No
AG00292,Karnataka,Bynduru,2495.1,Numbers,Total,27477.0,Count,Medium,No
AG00293,Karnataka,Bynduru,2495.1,Area,Male,8555.0,Area,Low,No
AG00294,Karnataka,Bynduru,2495.1,Area,Female,5866.0,Area,Low,No
AG00295,Karnataka,Bynduru,2495.1,Area,Institution,4.0,Area,Low,No
AG00296,Karnataka,Bynduru,2495.1,Area,Total,14425.0,Area,Medium,No
AG00297,Karnataka,Chadachana,1501.6,Numbers,Male,0.0,Count,Zero,Yes
AG00298,Karnataka,Chadachana,1501.6,Numbers,Female,0.0,Count,Zero,Yes
AG00299,Karnataka,Chadachana,1501.6,Numbers,Institution,0.0,Count,Zero,Yes
AG00300,Karnataka,Chadachana,1501.6,Numbers,Total,0.0,Count,Zero,Yes
AG00301,Karnataka,Chadachana,1501.6,Area,Male,0.0,Area,Zero,Yes
AG00302,Karnataka,Chadachana,1501.6,Area,Female,0.0,Area,Zero,Yes
AG00303,Karnataka,Chadachana,1501.6,Area,Institution,0.0,Area,Zero,Yes
AG00304,Karnataka,Chadachana,1501.6,Area,Total,0.0,Area,Zero,Yes
AG00305,Karnataka,Challakere,2002.6,Numbers,Male,47955.0,Count,Medium,No
AG00306,Karnataka,Challakere,2002.6,Numbers,Female,16392.0,Count,Medium,No
AG00307,Karnataka,Challakere,2002.6,Numbers,Institution,129.0,Count,Low,No
AG00308,Karnataka,Challakere,2002.6,Numbers,Total,64476.0,Count,High,No
AG00309,Karnataka,Challakere,2002.6,Area,Male,107937.26,Area,High,No
AG00310,Karnataka,Challakere,2002.6,Area,Female,37191.13,Area,Medium,No
AG00311,Karnataka,Challakere,2002.6,Area,Institution,954.94,Area,Low,No
AG00312,Karnataka,Challakere,2002.6,Area,Total,146083.33,Area,High,No
AG00313,Karnataka,Chamarajanagara,1025.5,Numbers,Male,64251.0,Count,High,No
AG00314,Karnataka,Chamarajanagara,1025.5,Numbers,Female,16142.0,Count,Medium,No
AG00315,Karnataka,Chamarajanagara,1025.5,Numbers,Institution,86.0,Count,Low,No
AG00316,Karnataka,Chamarajanagara,1025.5,Numbers,Total,80479.0,Count,High,No
AG00317,Karnataka,Chamarajanagara,1025.5,Area,Male,55371.4,Area,High,No
AG00318,Karnataka,Chamarajanagara,1025.5,Area,Female,12837.97,Area,Medium,No
AG00319,Karnataka,Chamarajanagara,1025.5,Area,Institution,146.65,Area,Low,No
AG00320,Karnataka,Chamarajanagara,1025.5,Area,Total,68356.02,Area,High,No
AG00321,Karnataka,Channagiri,1080.3,Numbers,Male,47053.0,Count,Medium,No
AG00322,Karnataka,Channagiri,1080.3,Numbers,Female,13649.0,Count,Medium,No
AG00323,Karnataka,Channagiri,1080.3,Numbers,Institution,175.0,Count,Low,No
AG00324,Karnataka,Channagiri,1080.3,Numbers,Total,60877.0,Count,High,No
AG00325,Karnataka,Channagiri,1080.3,Area,Male,56135.03,Area,High,No
AG00326,Karnataka,Channagiri,1080.3,Area,Female,15839.4,Area,Medium,No
